Age,F,M
0-4,123522,133160
5-9,141477,149766
10-14,152617,161146
15-19,142513,144495
20-24,142195,139587
25-29,137589,132888
30-34,111276,109678
35-39,100434,98019
40-44,84933,85896
45-49,73113,73917
50-54,59679,60598
55-59,44090,45409
60-64,35330,36567
65-69,23430,23218
70-74,17477,16776
75-79,10765,10663
80-84,7466,7067
85-89,3103,3105
90-94,1463,1290
95-99,691,593
100+,500,516
