Age,F,M
0-4,1205558,1247534
5-9,1251922,1303190
10-14,1383853,1438917
15-19,1282253,1328299
20-24,1366983,1298826
25-29,1400114,1203978
30-34,1327284,1128217
35-39,1417854,1161819
40-44,1295074,1117424
45-49,1242932,1105598
50-54,996954,931191
55-59,880881,861527
60-64,729535,685136
65-69,542902,459232
70-74,406810,326562
75-79,293050,208317
80-84,183899,118544
85-89,104352,59903
90-94,34963,17967
95-99,11044,5746
100+,3243,2188
