Age,F,M
0-4,9138,10020
5-9,8678,9828
10-14,8021,9300
15-19,8075,18239
20-24,10659,27925
25-29,11137,22044
30-34,8717,15314
35-39,7295,12255
40-44,5217,8384
45-49,3969,5649
50-54,2964,3646
55-59,2480,2576
60-64,2331,1977
65-69,1571,1182
70-74,1262,841
75-79,630,437
80-84,420,215
85-89,145,94
90-94,81,51
95-99,22,45
100+,26,31
