Age,F,M
0-4,983573,1149956
5-9,1066337,1301682
10-14,1137872,1445530
15-19,1247503,1570180
20-24,1311105,1465531
25-29,1193456,1270405
30-34,1034006,1082533
35-39,978209,1010862
40-44,879261,909208
45-49,769636,818135
50-54,590800,663664
55-59,470710,485845
60-64,514107,482483
65-69,346782,372806
70-74,241352,272120
75-79,126463,130203
80-84,103712,102623
85-89,40951,40280
90-94,27694,25180
95-99,10592,9428
100+,10502,8539
