Age,F,M
0-4,1254095,1286970
5-9,1354679,1404079
10-14,1422828,1461185
15-19,1280391,1319451
20-24,1196119,1193378
25-29,1008062,1049238
30-34,917035,898023
35-39,888149,891265
40-44,780151,796402
45-49,641400,692974
50-54,482621,510326
55-59,400015,389338
60-64,394786,348956
65-69,289474,244336
70-74,198751,174249
75-79,91033,75545
80-84,58064,47947
85-89,19952,16609
90-94,13605,11280
95-99,6427,5890
100+,3658,3347
