Age,F,M
0-4,95971,101291
5-9,112452,120647
10-14,119434,129237
15-19,111628,117994
20-24,100594,103769
25-29,87303,89598
30-34,73419,76505
35-39,63503,64695
40-44,51608,57653
45-49,39990,47757
50-54,29725,36134
55-59,19657,23741
60-64,16836,19683
65-69,11442,12801
70-74,8333,9260
75-79,4930,5635
80-84,3294,3728
85-89,1574,1727
90-94,964,1155
95-99,425,591
100+,149,199
