Age,F,M
0-4,6188158,6576871
5-9,7239918,7796359
10-14,6596051,7323831
15-19,4182114,5290581
20-24,3854150,4210585
25-29,3843018,3828687
30-34,3545141,3510596
35-39,3149100,3308161
40-44,2408883,2756809
45-49,2060380,2209994
50-54,1504315,1808425
55-59,1466322,1330356
60-64,1448083,1559925
65-69,986061,1103718
70-74,595148,784383
75-79,252506,297973
80-84,171057,197997
85-89,60250,69258
90-94,45915,48853
95-99,22379,24996
100+,19153,19490
