Age,F,M
0-4,49186,52017
5-9,51296,54672
10-14,53572,57417
15-19,53800,60075
20-24,60129,70616
25-29,64882,67744
30-34,62388,63471
35-39,62757,63541
40-44,53008,55504
45-49,46869,47867
50-54,37810,38782
55-59,33532,32021
60-64,32004,29100
65-69,22014,19005
70-74,16165,12890
75-79,9308,7228
80-84,5647,3599
85-89,2441,1452
90-94,995,593
95-99,395,265
100+,211,183
