Age,F,M
0-4,14113,14641
5-9,14942,15512
10-14,16349,17118
15-19,15760,17266
20-24,17587,19528
25-29,19492,22230
30-34,16364,19359
35-39,15672,17170
40-44,11922,14813
45-49,10591,13270
50-54,7586,9710
55-59,5924,7870
60-64,4569,5807
65-69,2796,3430
70-74,1720,2378
75-79,956,1295
80-84,625,711
85-89,282,305
90-94,145,145
95-99,82,76
100+,60,42
