Age,F,M
0-4,1577911,1634922
5-9,1737993,1806346
10-14,1702346,1789381
15-19,1473092,1595489
20-24,1493825,1415580
25-29,1422105,1393042
30-34,1155813,1174247
35-39,1106794,1153679
40-44,865743,965463
45-49,749168,846081
50-54,550103,642260
55-59,398583,458242
60-64,381135,394563
65-69,249669,253973
70-74,188832,196445
75-79,87753,96599
80-84,61792,59832
85-89,22974,23458
90-94,17799,15847
95-99,7930,8721
100+,5843,5379
