Age,F,M
0-4,158061,164505
5-9,165194,172541
10-14,174689,183001
15-19,176693,181136
20-24,189398,183779
25-29,169090,175059
30-34,137758,149231
35-39,136291,143051
40-44,114658,124093
45-49,98752,106717
50-54,75559,86627
55-59,55025,61849
60-64,47518,49611
65-69,35436,35044
70-74,26789,25535
75-79,15827,14259
80-84,10887,9040
85-89,4940,3922
90-94,3414,2294
95-99,1725,1435
100+,1088,780
