Age,F,M
0-4,3048878,3235887
5-9,3544034,3760398
10-14,3992711,4208884
15-19,3897440,4196307
20-24,4076397,4055697
25-29,3989149,3809887
30-34,3283964,3300407
35-39,3308827,3198512
40-44,2605075,2794398
45-49,2282636,2374633
50-54,1794803,1862583
55-59,1559059,1350539
60-64,1714073,1485764
65-69,1133494,1034360
70-74,766615,752743
75-79,329515,307474
80-84,252058,194607
85-89,85517,64668
90-94,54403,38256
95-99,20860,15849
100+,15378,12607
