Age,F,M
0-4,20651,21685
5-9,27990,28688
10-14,32958,33965
15-19,32939,33998
20-24,32151,35146
25-29,29939,34700
30-34,23663,28562
35-39,20231,23396
40-44,16382,20170
45-49,13348,16114
50-54,10808,13624
55-59,7628,9913
60-64,6109,7441
65-69,4890,5593
70-74,3257,4304
75-79,1960,2556
80-84,1142,1422
85-89,499,612
90-94,253,320
95-99,133,166
100+,37,58
