Age,F,M
0-4,2588442,2871890
5-9,2709435,3126401
10-14,2865611,3283834
15-19,2719650,3146110
20-24,2734595,3046127
25-29,2511539,2767283
30-34,2303504,2467024
35-39,2082890,2258335
40-44,1871600,1993876
45-49,1602141,1711872
50-54,1287910,1409273
55-59,1016859,1038088
60-64,876493,851259
65-69,620070,550002
70-74,482155,417522
75-79,243655,196341
80-84,171059,124770
85-89,64889,48189
90-94,44690,29643
95-99,22280,16441
100+,15667,11434
