Age,F,M
0-4,3589281,3743862
5-9,4031046,4216763
10-14,4479017,4677506
15-19,4355706,4702325
20-24,4335692,4422630
25-29,3953005,4044904
30-34,3376931,3464659
35-39,3489285,3523361
40-44,2933456,3219604
45-49,2521507,2814212
50-54,1940648,2317232
55-59,1521747,1746903
60-64,1339053,1406401
65-69,991713,991280
70-74,703726,686881
75-79,379551,360216
80-84,238611,207192
85-89,105008,92037
90-94,70239,53823
95-99,31837,25628
100+,31330,27856
