Age,F,M
0-4,4422397,4939629
5-9,4642477,5178177
10-14,5072274,5662261
15-19,4916867,5710400
20-24,5245852,5845114
25-29,4874553,5272560
30-34,4260010,4536297
35-39,4037726,4209434
40-44,3451264,3744825
45-49,2916236,3116218
50-54,2338326,2580991
55-59,1911685,1974129
60-64,1925841,1716639
65-69,1638114,1440238
70-74,1103844,1039292
75-79,547342,515431
80-84,341701,294950
85-89,133218,114176
90-94,88868,69018
95-99,42957,37356
100+,31341,26609
