Age,F,M
0-4,646864,734336
5-9,706485,829487
10-14,752701,895446
15-19,742257,925118
20-24,812649,951411
25-29,790130,878196
30-34,677244,757455
35-39,620789,698455
40-44,506339,590858
45-49,415986,495227
50-54,311247,376222
55-59,239707,269185
60-64,233916,238103
65-69,133054,139398
70-74,94303,94947
75-79,50247,50446
80-84,33288,29740
85-89,13265,12750
90-94,7397,6375
95-99,3130,3148
100+,2090,1848
