Age,F,M
0-4,1777163,1871134
5-9,2020546,2117879
10-14,1991769,2112627
15-19,1490381,1714887
20-24,1396359,1431263
25-29,1310325,1342314
30-34,1141430,1165866
35-39,1044089,1092675
40-44,858085,930421
45-49,735128,798966
50-54,565499,620682
55-59,497630,487604
60-64,482917,474565
65-69,317545,317852
70-74,196230,210878
75-79,84412,83542
80-84,52962,53414
85-89,18385,18981
90-94,12327,12141
95-99,5781,5882
100+,4374,4490
