Age,F,M
0-4,59692,61541
5-9,57900,59888
10-14,57455,59526
15-19,54436,55907
20-24,56196,55512
25-29,50956,51390
30-34,44033,44341
35-39,35567,36817
40-44,28210,29970
45-49,26147,27028
50-54,21700,22556
55-59,15038,16139
60-64,12123,12357
65-69,8056,8114
70-74,5912,6108
75-79,3900,3884
80-84,2436,2352
85-89,1149,968
90-94,455,374
95-99,183,139
100+,69,49
