Age,F,M
0-4,435876,488988
5-9,498622,560179
10-14,542069,603274
15-19,535627,588483
20-24,485454,484614
25-29,412821,397363
30-34,352873,345427
35-39,334666,330834
40-44,281178,285531
45-49,241395,247982
50-54,195134,202024
55-59,166596,151865
60-64,165836,163220
65-69,110347,108412
70-74,82473,80970
75-79,43809,40837
80-84,31323,26612
85-89,12023,10690
90-94,6856,5594
95-99,3075,2562
100+,3170,3000
