Age,F,M
0-4,651383,763501
5-9,665155,746818
10-14,668998,744855
15-19,597100,640362
20-24,557335,603578
25-29,501563,584559
30-34,431157,495746
35-39,396680,441265
40-44,326346,387739
45-49,279230,311560
50-54,212967,255599
55-59,167278,172753
60-64,149299,173427
65-69,101222,102743
70-74,86547,97472
75-79,41982,43094
80-84,34971,37245
85-89,11126,11852
90-94,8059,8873
95-99,2462,2800
100+,4408,5074
