Age,F,M
0-4,70415,72464
5-9,43882,86699
10-14,43996,90439
15-19,77295,78673
20-24,65663,66033
25-29,60348,63366
30-34,48709,52462
35-39,46180,48211
40-44,35742,42861
45-49,28506,35173
50-54,19623,26487
55-59,12890,16996
60-64,11953,13492
65-69,7331,7642
70-74,5100,5547
75-79,2448,2687
80-84,1802,1871
85-89,794,811
90-94,559,570
95-99,264,275
100+,199,294
