Age,F,M
0-4,2404,2648
5-9,2647,2760
10-14,3144,2854
15-19,2816,2808
20-24,2758,3071
25-29,2832,3135
30-34,2660,2777
35-39,2633,2756
40-44,2155,2453
45-49,1835,1975
50-54,1441,1625
55-59,1388,1513
60-64,988,1046
65-69,660,753
70-74,439,410
75-79,249,244
80-84,135,111
85-89,60,54
90-94,32,23
95-99,25,27
100+,8,6
