Age,F,M
0-4,17659,18902
5-9,17190,19059
10-14,16618,18385
15-19,13125,19979
20-24,16706,27595
25-29,16389,23496
30-34,12684,17957
35-39,10415,14862
40-44,7627,10554
45-49,6118,7671
50-54,4288,5215
55-59,3425,3526
60-64,3037,2794
65-69,1961,1755
70-74,1336,973
75-79,564,394
80-84,343,203
85-89,132,105
90-94,70,70
95-99,50,36
100+,40,29
