Age,F,M
0-4,3597039,3874247
5-9,3956762,4309693
10-14,4125172,4439329
15-19,3466717,3980072
20-24,3173491,3554088
25-29,2799181,2988325
30-34,2564255,2650705
35-39,2368207,2493464
40-44,2020586,2193888
45-49,1684163,1838798
50-54,1247850,1446522
55-59,1027834,1030243
60-64,997947,989463
65-69,747056,680005
70-74,562175,545246
75-79,278548,244807
80-84,196737,172429
85-89,70281,62214
90-94,51367,41097
95-99,22414,19358
100+,17235,14937
