Age,F,M
0-4,1774902,1878127
5-9,1989429,2085339
10-14,2145090,2203535
15-19,1952714,1972684
20-24,1912588,1870939
25-29,1801161,1772876
30-34,1560758,1542233
35-39,1522503,1528685
40-44,1303554,1387920
45-49,1121664,1212366
50-54,890288,957524
55-59,739429,744291
60-64,736426,737635
65-69,491676,487849
70-74,387435,380635
75-79,181506,183294
80-84,115184,121629
85-89,37635,43817
90-94,22842,22234
95-99,9106,9256
100+,8368,7921
