Age,F,M
0-4,2564123,2714578
5-9,2699962,2851293
10-14,2988557,3188990
15-19,3023954,3229838
20-24,3256739,3154804
25-29,3426372,3237374
30-34,2906811,2908749
35-39,3021251,2815205
40-44,2514363,2549846
45-49,2338141,2374915
50-54,1827897,1875563
55-59,1560218,1540924
60-64,1404569,1378039
65-69,971958,896412
70-74,713362,693167
75-79,356495,353746
80-84,245927,210812
85-89,94104,82854
90-94,43138,31547
95-99,11967,9007
100+,7012,5642
