Age,F,M
0-4,9716194,10660474
5-9,11811386,13250331
10-14,12190727,13679154
15-19,10732807,12307573
20-24,8173163,9405485
25-29,7113462,7466367
30-34,6523281,6431401
35-39,6154991,6401231
40-44,4836240,5395162
45-49,4067629,4382148
50-54,3015106,3571917
55-59,2837945,2626201
60-64,2736420,2968771
65-69,1881497,1958472
70-74,1297276,1535092
75-79,611015,638877
80-84,443203,479353
85-89,163305,179266
90-94,119301,122631
95-99,52485,53342
100+,98269,101329
