Age,F,M
0-4,200308,205846
5-9,191597,197585
10-14,189133,193473
15-19,161472,164716
20-24,145872,139140
25-29,126605,124676
30-34,93871,95786
35-39,87386,87320
40-44,72073,73377
45-49,60072,63043
50-54,42833,45910
55-59,29417,30692
60-64,25287,25421
65-69,18292,17482
70-74,12537,11161
75-79,6997,5848
80-84,4534,3683
85-89,2107,1556
90-94,1280,963
95-99,599,532
100+,330,293
