Age,F,M
0-4,46246,47703
5-9,48390,50327
10-14,51790,53936
15-19,50085,52231
20-24,57532,51287
25-29,63192,55052
30-34,57309,53761
35-39,54804,52655
40-44,44297,45482
45-49,38680,40625
50-54,30065,30858
55-59,25494,24615
60-64,23330,20498
65-69,15829,12154
70-74,12660,9861
75-79,7295,5494
80-84,4787,3151
85-89,1967,1416
90-94,808,577
95-99,244,193
100+,97,75
