Age,F,M
0-4,2464695,2582024
5-9,2544839,2696670
10-14,2781359,2955287
15-19,2785229,3042048
20-24,2942972,3109586
25-29,2892352,2879254
30-34,2308786,2389594
35-39,2376363,2319088
40-44,1848944,1977768
45-49,1714949,1804833
50-54,1317301,1381969
55-59,1086450,1056054
60-64,1065422,994630
65-69,796432,723687
70-74,550706,510419
75-79,274592,249834
80-84,205258,156766
85-89,75585,58153
90-94,43764,30770
95-99,18870,13387
100+,13331,9426
